Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Schleswig-Holstein,12,56400,33680,1011,19992,1717,4700
WS2013/14,Schleswig-Holstein,13,56119,32677,986,20856,1600,4317
WS2012/13,Schleswig-Holstein,13,54935,32209,937,20299,1490,4226
