Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Sachsen-Anhalt,10,54533,32940,1250,20066,277,5453
WS2013/14,Sachsen-Anhalt,10,55362,33815,1266,19967,314,5536
WS2012/13,Sachsen-Anhalt,10,55251,33514,1274,20144,319,5525
