Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Mecklenburg-Vorpommern,7,38798,25026,519,12824,429,5543
WS2013/14,Mecklenburg-Vorpommern,8,39270,25867,541,12445,417,4909
WS2012/13,Mecklenburg-Vorpommern,8,39827,26779,591,11994,463,4978
