Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Saarland,6,29506,17710,845,10553,398,4918
WS2013/14,Saarland,6,28844,17800,848,9762,434,4807
WS2012/13,Saarland,6,28415,17957,839,9163,456,4736
