Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Hessen,33,237813,152644,2441,79836,3342,7206
WS2013/14,Hessen,33,227622,147520,2494,74246,3362,6898
WS2012/13,Hessen,32,215520,139800,2397,69863,3460,6735
