Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Nordrhein-Westfalen,72,721347,476785,7671,226102,10789,10019
WS2013/14,Nordrhein-Westfalen,71,695250,471976,7260,205359,10655,9792
WS2012/13,Nordrhein-Westfalen,69,644320,445892,7222,181151,10055,9338
