Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Bayern,48,368218,237931,4229,122046,4012,7671
WS2013/14,Bayern,48,355914,231220,4234,116535,3925,7415
WS2012/13,Bayern,49,332766,216045,4077,108820,3824,6791
