Semester,Bundesland,Hochschulen,Stud_total,Stud_uni,Stud_ph,Stud_fh,Stud_vfh,Stud_per_hs
WS2014/15,Niedersachsen,29,192143,129813,2492,58740,1098,6626
WS2013/14,Niedersachsen,29,177349,119480,2466,54319,1084,6115
WS2012/13,Niedersachsen,29,170164,114856,2370,51875,1063,5868
